left_shoulder_elbow_angle,left_elbow_wrist_angle,right_shoulder_elbow_angle,right_shoulder_left_shoulder,right_elbow_wrist_angle,left_shoulder_x_rel,left_shoulder_y_rel,left_elbow_x_rel,left_elbow_y_rel,left_wrist_x_rel,left_wrist_y_rel,right_shoulder_x_rel,right_shoulder_y_rel,right_elbow_x_rel,right_elbow_y_rel,right_wrist_x_rel,right_wrist_y_rel,status
31,82,91,176,18,0.09699321,0.09672387,-0.00484966,0.08580343,0.10960233,0.2449298,-0.00193986,0.23556942,0.10960233,0.39313573,-0.01551891,0.35881435,1
31,82,91,176,18,0.09699321,0.09813084,-0.00484966,0.08722741,0.10960233,0.24610592,-0.00193986,0.23676012,0.10960233,0.394081,-0.01648885,0.35981308,1
31,82,91,176,18,0.09699321,0.09813084,-0.00484966,0.08722741,0.10960233,0.24610592,-0.00193986,0.23676012,0.10960233,0.394081,-0.01648885,0.35981308,1
31,82,91,176,18,0.09699321,0.09813084,-0.00484966,0.08722741,0.10960233,0.24610592,-0.00193986,0.23676012,0.10960233,0.39563863,-0.01648885,0.35981308,1
31,82,91,176,18,0.09699321,0.09953344,-0.00484966,0.08864697,0.10960233,0.24727838,-0.00193986,0.23794712,0.10960233,0.39657854,-0.01648885,0.36080871,1
31,82,92,176,18,0.09699321,0.09953344,-0.00484966,0.08864697,0.10960233,0.24727838,-0.00096993,0.23794712,0.10960233,0.39657854,-0.01648885,0.36080871,1
31,82,92,176,18,0.09699321,0.09953344,-0.00484966,0.08864697,0.10960233,0.24727838,-0.00096993,0.23794712,0.10960233,0.39657854,-0.01648885,0.36080871,1
31,81,91,175,18,0.09786822,0.10108865,-0.00290698,0.08864697,0.11143411,0.24883359,0.0,0.23794712,0.11046512,0.39813375,-0.01550388,0.3592535,1
30,81,91,175,18,0.09786822,0.10108865,-0.00290698,0.08864697,0.11143411,0.2503888,0.0,0.23639191,0.11046512,0.39968896,-0.01550388,0.35769829,1
30,82,91,175,18,0.09883721,0.10264386,-0.00290698,0.08864697,0.11143411,0.25194401,0.0,0.23639191,0.11046512,0.40124417,-0.01550388,0.35769829,1
30,82,91,174,17,0.09970958,0.10403727,-0.00096805,0.08850932,0.11229429,0.25310559,0.00096805,0.23757764,0.11132623,0.40217391,-0.01452081,0.35869565,1
30,82,91,174,17,0.09970958,0.10403727,-0.00096805,0.08850932,0.11229429,0.25310559,0.00096805,0.23757764,0.11132623,0.40217391,-0.01452081,0.35869565,1
31,81,91,174,18,0.10058027,0.10403727,0.0,0.08850932,0.11411992,0.25310559,0.00193424,0.23757764,0.11218569,0.40217391,-0.01450677,0.36024845,1
31,81,91,174,18,0.10058027,0.10403727,0.0,0.08850932,0.11411992,0.25310559,0.00193424,0.23602484,0.11218569,0.40372671,-0.01257253,0.36024845,1
